player_id,date_of_birth,height_cm,sitting_height_cm,weight_kg,data_source
Player_01,2011-01-18,171.2,88.1,61.4,synthetic
Player_02,2011-02-09,165.8,85.0,55.2,synthetic
Player_03,2011-03-27,158.4,81.6,47.9,synthetic
Player_04,2011-04-15,176.1,90.5,66.0,synthetic
Player_05,2011-05-22,162.3,83.7,51.1,synthetic
Player_06,2011-06-11,169.5,87.2,58.7,synthetic
Player_07,2011-07-26,155.6,80.2,45.1,synthetic
Player_08,2011-08-04,173.0,89.0,63.3,synthetic
Player_09,2011-09-19,160.9,82.4,49.0,synthetic
Player_10,2011-10-02,167.4,86.0,57.5,synthetic
Player_11,2011-11-17,153.8,79.4,43.8,synthetic
Player_12,2011-12-08,164.1,84.1,52.8,synthetic
Player_13,2012-01-13,157.2,80.8,46.0,synthetic
Player_14,2012-02-24,168.0,86.4,56.1,synthetic
Player_15,2012-03-19,151.5,78.0,41.9,synthetic
Player_16,2012-04-30,161.1,82.9,50.4,synthetic
Player_17,2012-05-16,149.8,77.2,40.7,synthetic
Player_18,2012-06-21,163.7,84.0,53.0,synthetic
Player_19,2012-07-10,154.3,79.6,44.2,synthetic
Player_20,2012-08-28,159.9,81.9,48.6,synthetic
Player_21,2010-11-05,177.4,91.0,68.5,synthetic
Player_22,2010-12-14,172.1,88.7,62.0,synthetic
Player_23,2011-01-31,166.6,85.8,55.9,synthetic
Player_24,2011-03-05,174.2,89.5,64.1,synthetic
Player_25,2011-05-03,156.8,80.6,46.6,synthetic
Player_26,2011-07-14,170.3,87.6,59.4,synthetic
